epsilon,noisy_values,errors,runtimes,true_value
0.05,3379,2334,6.794929504394531e-05,1045
0.05,1045,0,4.1961669921875e-05,1045
0.05,3379,2334,6.818771362304688e-05,1045
0.05,1045,0,4.315376281738281e-05,1045
0.05,1045,0,3.886222839355469e-05,1045
0.05,3379,2334,5.8650970458984375e-05,1045
0.05,1045,0,4.124641418457031e-05,1045
0.05,3379,2334,5.7697296142578125e-05,1045
0.05,3379,2334,5.817413330078125e-05,1045
0.05,3379,2334,5.6743621826171875e-05,1045
0.1,1045,0,4.506111145019531e-05,1045
0.1,1045,0,6.29425048828125e-05,1045
0.1,3379,2334,6.29425048828125e-05,1045
0.1,1045,0,3.62396240234375e-05,1045
0.1,1045,0,3.4809112548828125e-05,1045
0.1,3379,2334,5.7220458984375e-05,1045
0.1,3379,2334,5.3882598876953125e-05,1045
0.1,3379,2334,5.5789947509765625e-05,1045
0.1,3379,2334,7.414817810058594e-05,1045
0.1,3379,2334,5.5789947509765625e-05,1045
0.2,1045,0,5.316734313964844e-05,1045
0.2,3379,2334,5.507469177246094e-05,1045
0.2,1045,0,3.790855407714844e-05,1045
0.2,3379,2334,7.128715515136719e-05,1045
0.2,3379,2334,5.4836273193359375e-05,1045
0.2,3379,2334,7.390975952148438e-05,1045
0.2,1045,0,3.719329833984375e-05,1045
0.2,1045,0,3.886222839355469e-05,1045
0.2,3379,2334,5.507469177246094e-05,1045
0.2,3379,2334,7.104873657226562e-05,1045
0.5,1045,0,3.600120544433594e-05,1045
0.5,3379,2334,5.507469177246094e-05,1045
0.5,1045,0,3.7670135498046875e-05,1045
0.5,3379,2334,7.486343383789062e-05,1045
0.5,3379,2334,5.4836273193359375e-05,1045
0.5,3379,2334,5.2928924560546875e-05,1045
0.5,3379,2334,7.104873657226562e-05,1045
0.5,3379,2334,5.602836608886719e-05,1045
0.5,1045,0,3.695487976074219e-05,1045
0.5,1045,0,3.719329833984375e-05,1045
1.0,1045,0,3.886222839355469e-05,1045
1.0,3379,2334,5.507469177246094e-05,1045
1.0,1045,0,5.1021575927734375e-05,1045
1.0,3379,2334,5.698204040527344e-05,1045
1.0,1045,0,3.600120544433594e-05,1045
1.0,3379,2334,5.2928924560546875e-05,1045
1.0,1045,0,3.790855407714844e-05,1045
1.0,1045,0,4.7206878662109375e-05,1045
1.0,1045,0,4.1961669921875e-05,1045
1.0,1045,0,3.600120544433594e-05,1045
