epsilon,noisy_values,errors,runtimes,true_value
0.05,2472,520,5.91278076171875e-05,1952
0.05,2472,520,5.3882598876953125e-05,1952
0.05,1952,0,3.600120544433594e-05,1952
0.05,1952,0,5.1975250244140625e-05,1952
0.05,1952,0,3.790855407714844e-05,1952
0.05,2472,520,6.985664367675781e-05,1952
0.05,1952,0,4.100799560546875e-05,1952
0.05,1952,0,4.315376281738281e-05,1952
0.05,2472,520,5.412101745605469e-05,1952
0.05,2472,520,5.507469177246094e-05,1952
0.1,1952,0,3.600120544433594e-05,1952
0.1,2472,520,5.412101745605469e-05,1952
0.1,1952,0,3.790855407714844e-05,1952
0.1,1952,0,3.62396240234375e-05,1952
0.1,1952,0,3.5762786865234375e-05,1952
0.1,2472,520,5.507469177246094e-05,1952
0.1,1952,0,4.601478576660156e-05,1952
0.1,2472,520,5.888938903808594e-05,1952
0.1,2472,520,5.4836273193359375e-05,1952
0.1,2472,520,5.2928924560546875e-05,1952
0.2,1952,0,3.504753112792969e-05,1952
0.2,1952,0,3.790855407714844e-05,1952
0.2,1952,0,3.600120544433594e-05,1952
0.2,1952,0,4.410743713378906e-05,1952
0.2,1952,0,3.62396240234375e-05,1952
0.2,2472,520,5.4836273193359375e-05,1952
0.2,1952,0,3.695487976074219e-05,1952
0.2,1952,0,3.504753112792969e-05,1952
0.2,1952,0,3.504753112792969e-05,1952
0.2,2472,520,5.412101745605469e-05,1952
0.5,1952,0,3.5762786865234375e-05,1952
0.5,2472,520,6.222724914550781e-05,1952
0.5,1952,0,4.00543212890625e-05,1952
0.5,1952,0,3.600120544433594e-05,1952
0.5,1952,0,3.504753112792969e-05,1952
0.5,1952,0,3.886222839355469e-05,1952
0.5,1952,0,4.506111145019531e-05,1952
0.5,1952,0,3.3855438232421875e-05,1952
0.5,2472,520,5.412101745605469e-05,1952
0.5,1952,0,3.790855407714844e-05,1952
1.0,1952,0,4.7206878662109375e-05,1952
1.0,1952,0,3.600120544433594e-05,1952
1.0,2472,520,5.602836608886719e-05,1952
1.0,1952,0,4.887580871582031e-05,1952
1.0,1952,0,3.719329833984375e-05,1952
1.0,1952,0,3.5762786865234375e-05,1952
1.0,1952,0,3.719329833984375e-05,1952
1.0,1952,0,3.600120544433594e-05,1952
1.0,1952,0,3.504753112792969e-05,1952
1.0,1952,0,3.504753112792969e-05,1952
