epsilon,noisy_values,errors,runtimes,true_value
0.05,2201,1698,0.00601506233215332,503
0.05,2169,1666,0.005898952484130859,503
0.05,2113,1610,0.005851268768310547,503
0.05,2153,1650,0.005785703659057617,503
0.05,2148,1645,0.005871295928955078,503
0.05,2154,1651,0.005773782730102539,503
0.05,2128,1625,0.006095170974731445,503
0.05,2114,1611,0.005849123001098633,503
0.05,2133,1630,0.0058879852294921875,503
0.05,2168,1665,0.005877971649169922,503
0.1,2138,1635,0.005870819091796875,503
0.1,2095,1592,0.006129264831542969,503
0.1,2058,1555,0.005990266799926758,503
0.1,2150,1647,0.005853891372680664,503
0.1,2176,1673,0.005793094635009766,503
0.1,2141,1638,0.0058591365814208984,503
0.1,2162,1659,0.0058062076568603516,503
0.1,2131,1628,0.005939006805419922,503
0.1,2079,1576,0.005918979644775391,503
0.1,2112,1609,0.005881071090698242,503
0.2,2130,1627,0.005777835845947266,503
0.2,2096,1593,0.0058040618896484375,503
0.2,2059,1556,0.005855083465576172,503
0.2,2099,1596,0.0060770511627197266,503
0.2,2028,1525,0.005877971649169922,503
0.2,2071,1568,0.005959987640380859,503
0.2,2039,1536,0.005877017974853516,503
0.2,2078,1575,0.0058879852294921875,503
0.2,2005,1502,0.005877971649169922,503
0.2,2018,1515,0.0060231685638427734,503
0.5,1786,1283,0.005889892578125,503
0.5,1803,1300,0.0059261322021484375,503
0.5,1817,1314,0.005852937698364258,503
0.5,1800,1297,0.005795955657958984,503
0.5,1766,1263,0.006082773208618164,503
0.5,1861,1358,0.005875349044799805,503
0.5,1775,1272,0.00590968132019043,503
0.5,1743,1240,0.005880117416381836,503
0.5,1779,1276,0.005842924118041992,503
0.5,1789,1286,0.005877971649169922,503
1.0,1450,947,0.006139039993286133,503
1.0,1416,913,0.005860090255737305,503
1.0,1417,914,0.005841970443725586,503
1.0,1463,960,0.005930185317993164,503
1.0,1435,932,0.00578618049621582,503
1.0,1431,928,0.005892753601074219,503
1.0,1440,937,0.00634002685546875,503
1.0,1452,949,0.006226778030395508,503
1.0,1457,954,0.006180763244628906,503
1.0,1423,920,0.0060710906982421875,503
