epsilon,noisy_values,errors,runtimes,true_value
0.05,1421,0,0.0005259513854980469,1421
0.05,1421,0,0.0001800060272216797,1421
0.05,1421,0,0.0001659393310546875,1421
0.05,3003,1582,0.00019407272338867188,1421
0.05,3003,1582,0.0001800060272216797,1421
0.05,3003,1582,0.00017189979553222656,1421
0.05,3003,1582,0.00016927719116210938,1421
0.05,1421,0,0.00015807151794433594,1421
0.05,3003,1582,0.00017189979553222656,1421
0.05,3003,1582,0.00019407272338867188,1421
0.1,1421,0,0.0001621246337890625,1421
0.1,1421,0,0.00015687942504882812,1421
0.1,3003,1582,0.00018715858459472656,1421
0.1,1421,0,0.00015687942504882812,1421
0.1,3003,1582,0.00017523765563964844,1421
0.1,3003,1582,0.0001747608184814453,1421
0.1,3003,1582,0.0001761913299560547,1421
0.1,1421,0,0.0001552104949951172,1421
0.1,1421,0,0.00015401840209960938,1421
0.1,3003,1582,0.00017714500427246094,1421
0.2,1421,0,0.0001571178436279297,1421
0.2,1421,0,0.00015687942504882812,1421
0.2,3003,1582,0.00017690658569335938,1421
0.2,1421,0,0.0001552104949951172,1421
0.2,3003,1582,0.0001919269561767578,1421
0.2,1421,0,0.00015282630920410156,1421
0.2,1421,0,0.00015616416931152344,1421
0.2,1421,0,0.00015282630920410156,1421
0.2,3003,1582,0.00018095970153808594,1421
0.2,1421,0,0.00016117095947265625,1421
0.5,3003,1582,0.0001800060272216797,1421
0.5,3003,1582,0.00018095970153808594,1421
0.5,1421,0,0.0001552104949951172,1421
0.5,1421,0,0.00015282630920410156,1421
0.5,3003,1582,0.00017189979553222656,1421
0.5,1421,0,0.00015807151794433594,1421
0.5,1421,0,0.00016307830810546875,1421
0.5,3003,1582,0.00017786026000976562,1421
0.5,3003,1582,0.0001780986785888672,1421
0.5,1421,0,0.0001678466796875,1421
1.0,1421,0,0.0001518726348876953,1421
1.0,3003,1582,0.00017404556274414062,1421
1.0,1421,0,0.00015282630920410156,1421
1.0,3003,1582,0.00017189979553222656,1421
1.0,3003,1582,0.00017404556274414062,1421
1.0,1421,0,0.00015401840209960938,1421
1.0,1421,0,0.00015306472778320312,1421
1.0,1421,0,0.00015497207641601562,1421
1.0,1421,0,0.00015306472778320312,1421
1.0,1421,0,0.00015211105346679688,1421
