epsilon,noisy_values,errors,runtimes,true_value
0.05,4424,0,2.6941299438476562e-05,4424
0.05,4424,0,2.193450927734375e-05,4424
0.05,4424,0,2.09808349609375e-05,4424
0.05,4424,0,2.193450927734375e-05,4424
0.05,4424,0,2.09808349609375e-05,4424
0.05,4424,0,2.09808349609375e-05,4424
0.05,4424,0,2.09808349609375e-05,4424
0.05,4424,0,2.1219253540039062e-05,4424
0.05,4424,0,2.09808349609375e-05,4424
0.05,4424,0,2.002716064453125e-05,4424
0.1,4424,0,2.002716064453125e-05,4424
0.1,4424,0,2.002716064453125e-05,4424
0.1,4424,0,2.002716064453125e-05,4424
0.1,4424,0,2.002716064453125e-05,4424
0.1,4424,0,2.002716064453125e-05,4424
0.1,4424,0,2.0265579223632812e-05,4424
0.1,4424,0,2.0265579223632812e-05,4424
0.1,4424,0,2.0265579223632812e-05,4424
0.1,4424,0,2.0265579223632812e-05,4424
0.1,4424,0,2.002716064453125e-05,4424
0.2,4424,0,2.09808349609375e-05,4424
0.2,4424,0,2.1219253540039062e-05,4424
0.2,4424,0,2.09808349609375e-05,4424
0.2,4424,0,2.09808349609375e-05,4424
0.2,4424,0,2.09808349609375e-05,4424
0.2,4424,0,2.09808349609375e-05,4424
0.2,4424,0,2.09808349609375e-05,4424
0.2,4424,0,2.09808349609375e-05,4424
0.2,4424,0,2.09808349609375e-05,4424
0.2,4424,0,2.09808349609375e-05,4424
0.5,4424,0,2.09808349609375e-05,4424
0.5,4424,0,2.09808349609375e-05,4424
0.5,4424,0,2.002716064453125e-05,4424
0.5,4424,0,2.002716064453125e-05,4424
0.5,4424,0,2.002716064453125e-05,4424
0.5,4424,0,2.002716064453125e-05,4424
0.5,4424,0,2.002716064453125e-05,4424
0.5,4424,0,2.193450927734375e-05,4424
0.5,4424,0,2.193450927734375e-05,4424
0.5,4424,0,2.09808349609375e-05,4424
1.0,4424,0,2.09808349609375e-05,4424
1.0,4424,0,2.09808349609375e-05,4424
1.0,4424,0,2.09808349609375e-05,4424
1.0,4424,0,2.09808349609375e-05,4424
1.0,4424,0,2.09808349609375e-05,4424
1.0,4424,0,2.1219253540039062e-05,4424
1.0,4424,0,2.09808349609375e-05,4424
1.0,4424,0,1.9788742065429688e-05,4424
1.0,4424,0,2.09808349609375e-05,4424
1.0,4424,0,1.9788742065429688e-05,4424
