epsilon,noisy_values,errors,runtimes,true_value
0.05,4424,4424,6.699562072753906e-05,0
0.05,4424,4424,5.91278076171875e-05,0
0.05,4424,4424,5.5789947509765625e-05,0
0.05,4424,4424,5.602836608886719e-05,0
0.05,0,0,4.696846008300781e-05,0
0.05,0,0,3.814697265625e-05,0
0.05,4424,4424,5.602836608886719e-05,0
0.05,0,0,4.57763671875e-05,0
0.05,4424,4424,6.198883056640625e-05,0
0.05,4424,4424,6.914138793945312e-05,0
0.1,4424,4424,5.8650970458984375e-05,0
0.1,0,0,4.100799560546875e-05,0
0.1,0,0,4.315376281738281e-05,0
0.1,0,0,4.00543212890625e-05,0
0.1,4424,4424,5.888938903808594e-05,0
0.1,4424,4424,6.794929504394531e-05,0
0.1,0,0,4.00543212890625e-05,0
0.1,4424,4424,6.079673767089844e-05,0
0.1,0,0,4.100799560546875e-05,0
0.1,4424,4424,5.888938903808594e-05,0
0.2,0,0,5.412101745605469e-05,0
0.2,0,0,3.981590270996094e-05,0
0.2,0,0,3.933906555175781e-05,0
0.2,0,0,3.790855407714844e-05,0
0.2,4424,4424,5.817413330078125e-05,0
0.2,4424,4424,6.103515625e-05,0
0.2,4424,4424,6.198883056640625e-05,0
0.2,4424,4424,6.604194641113281e-05,0
0.2,4424,4424,6.008148193359375e-05,0
0.2,0,0,4.100799560546875e-05,0
0.5,4424,4424,6.29425048828125e-05,0
0.5,0,0,4.100799560546875e-05,0
0.5,4424,4424,6.198883056640625e-05,0
0.5,4424,4424,6.29425048828125e-05,0
0.5,0,0,6.031990051269531e-05,0
0.5,0,0,7.510185241699219e-05,0
0.5,0,0,4.1961669921875e-05,0
0.5,4424,4424,6.222724914550781e-05,0
0.5,4424,4424,6.29425048828125e-05,0
0.5,0,0,4.315376281738281e-05,0
1.0,0,0,4.1961669921875e-05,0
1.0,0,0,4.410743713378906e-05,0
1.0,0,0,4.100799560546875e-05,0
1.0,0,0,3.981590270996094e-05,0
1.0,0,0,4.00543212890625e-05,0
1.0,4424,4424,6.198883056640625e-05,0
1.0,0,0,4.291534423828125e-05,0
1.0,0,0,4.100799560546875e-05,0
1.0,0,0,3.981590270996094e-05,0
1.0,0,0,4.124641418457031e-05,0
