epsilon,noisy_values,errors,runtimes,true_value
0.05,3921,0,4.2438507080078125e-05,3921
0.05,3921,0,4.00543212890625e-05,3921
0.05,503,3418,6.103515625e-05,3921
0.05,503,3418,6.29425048828125e-05,3921
0.05,503,3418,5.91278076171875e-05,3921
0.05,3921,0,4.029273986816406e-05,3921
0.05,503,3418,9.512901306152344e-05,3921
0.05,503,3418,0.00013303756713867188,3921
0.05,3921,0,6.389617919921875e-05,3921
0.05,3921,0,5.1975250244140625e-05,3921
0.1,3921,0,4.696846008300781e-05,3921
0.1,503,3418,8.606910705566406e-05,3921
0.1,503,3418,7.295608520507812e-05,3921
0.1,3921,0,6.008148193359375e-05,3921
0.1,3921,0,4.100799560546875e-05,3921
0.1,3921,0,3.886222839355469e-05,3921
0.1,503,3418,6.29425048828125e-05,3921
0.1,3921,0,4.982948303222656e-05,3921
0.1,3921,0,4.410743713378906e-05,3921
0.1,3921,0,3.910064697265625e-05,3921
0.2,503,3418,8.392333984375e-05,3921
0.2,503,3418,6.29425048828125e-05,3921
0.2,503,3418,8.106231689453125e-05,3921
0.2,3921,0,3.981590270996094e-05,3921
0.2,503,3418,6.413459777832031e-05,3921
0.2,3921,0,6.103515625e-05,3921
0.2,3921,0,3.719329833984375e-05,3921
0.2,3921,0,3.790855407714844e-05,3921
0.2,503,3418,7.605552673339844e-05,3921
0.2,3921,0,4.1961669921875e-05,3921
0.5,3921,0,3.886222839355469e-05,3921
0.5,3921,0,3.719329833984375e-05,3921
0.5,503,3418,7.796287536621094e-05,3921
0.5,503,3418,6.103515625e-05,3921
0.5,3921,0,4.315376281738281e-05,3921
0.5,3921,0,5.2928924560546875e-05,3921
0.5,503,3418,6.699562072753906e-05,3921
0.5,3921,0,4.00543212890625e-05,3921
0.5,503,3418,6.890296936035156e-05,3921
0.5,503,3418,6.794929504394531e-05,3921
1.0,3921,0,3.910064697265625e-05,3921
1.0,503,3418,5.888938903808594e-05,3921
1.0,3921,0,3.719329833984375e-05,3921
1.0,3921,0,5.4836273193359375e-05,3921
1.0,503,3418,6.818771362304688e-05,3921
1.0,3921,0,3.981590270996094e-05,3921
1.0,3921,0,5.507469177246094e-05,3921
1.0,3921,0,3.7670135498046875e-05,3921
1.0,503,3418,6.031990051269531e-05,3921
1.0,3921,0,5.2928924560546875e-05,3921
