epsilon,noisy_values,errors,runtimes,true_value
0.05,3325,0,4.673004150390625e-05,3325
0.05,3325,0,3.814697265625e-05,3325
0.05,3325,0,3.814697265625e-05,3325
0.05,3325,0,3.886222839355469e-05,3325
0.05,1099,2226,6.103515625e-05,3325
0.05,1099,2226,5.91278076171875e-05,3325
0.05,3325,0,4.982948303222656e-05,3325
0.05,1099,2226,6.318092346191406e-05,3325
0.05,1099,2226,9.799003601074219e-05,3325
0.05,1099,2226,6.318092346191406e-05,3325
0.1,1099,2226,5.6743621826171875e-05,3325
0.1,1099,2226,5.7220458984375e-05,3325
0.1,1099,2226,7.009506225585938e-05,3325
0.1,1099,2226,5.817413330078125e-05,3325
0.1,3325,0,3.790855407714844e-05,3325
0.1,3325,0,4.029273986816406e-05,3325
0.1,3325,0,5.888938903808594e-05,3325
0.1,1099,2226,6.508827209472656e-05,3325
0.1,1099,2226,7.104873657226562e-05,3325
0.1,3325,0,4.291534423828125e-05,3325
0.2,3325,0,3.62396240234375e-05,3325
0.2,1099,2226,8.606910705566406e-05,3325
0.2,3325,0,3.600120544433594e-05,3325
0.2,1099,2226,5.602836608886719e-05,3325
0.2,3325,0,5.3882598876953125e-05,3325
0.2,3325,0,4.601478576660156e-05,3325
0.2,1099,2226,6.008148193359375e-05,3325
0.2,3325,0,3.814697265625e-05,3325
0.2,1099,2226,7.390975952148438e-05,3325
0.2,1099,2226,6.29425048828125e-05,3325
0.5,3325,0,3.5762786865234375e-05,3325
0.5,3325,0,5.3882598876953125e-05,3325
0.5,1099,2226,5.602836608886719e-05,3325
0.5,3325,0,5.4836273193359375e-05,3325
0.5,1099,2226,5.316734313964844e-05,3325
0.5,1099,2226,5.3882598876953125e-05,3325
0.5,3325,0,5.3882598876953125e-05,3325
0.5,3325,0,3.814697265625e-05,3325
0.5,3325,0,3.600120544433594e-05,3325
0.5,3325,0,4.410743713378906e-05,3325
1.0,3325,0,4.291534423828125e-05,3325
1.0,3325,0,3.790855407714844e-05,3325
1.0,3325,0,3.695487976074219e-05,3325
1.0,1099,2226,7.700920104980469e-05,3325
1.0,1099,2226,5.984306335449219e-05,3325
1.0,3325,0,3.695487976074219e-05,3325
1.0,3325,0,3.62396240234375e-05,3325
1.0,3325,0,3.600120544433594e-05,3325
1.0,1099,2226,5.4836273193359375e-05,3325
1.0,3325,0,5.1975250244140625e-05,3325
