epsilon,noisy_values,errors,runtimes,true_value
0.05,1099,0,3.981590270996094e-05,1099
0.05,3325,2226,5.626678466796875e-05,1099
0.05,3325,2226,5.817413330078125e-05,1099
0.05,3325,2226,5.602836608886719e-05,1099
0.05,1099,0,3.814697265625e-05,1099
0.05,3325,2226,6.008148193359375e-05,1099
0.05,1099,0,3.7670135498046875e-05,1099
0.05,3325,2226,5.602836608886719e-05,1099
0.05,3325,2226,5.793571472167969e-05,1099
0.05,1099,0,3.814697265625e-05,1099
0.1,1099,0,3.910064697265625e-05,1099
0.1,1099,0,3.981590270996094e-05,1099
0.1,1099,0,3.814697265625e-05,1099
0.1,1099,0,3.6716461181640625e-05,1099
0.1,3325,2226,5.7220458984375e-05,1099
0.1,1099,0,3.981590270996094e-05,1099
0.1,3325,2226,5.698204040527344e-05,1099
0.1,1099,0,3.790855407714844e-05,1099
0.1,1099,0,3.886222839355469e-05,1099
0.1,1099,0,3.719329833984375e-05,1099
0.2,3325,2226,5.793571472167969e-05,1099
0.2,3325,2226,5.91278076171875e-05,1099
0.2,3325,2226,5.5789947509765625e-05,1099
0.2,3325,2226,5.507469177246094e-05,1099
0.2,1099,0,3.814697265625e-05,1099
0.2,1099,0,4.00543212890625e-05,1099
0.2,3325,2226,5.6743621826171875e-05,1099
0.2,3325,2226,6.103515625e-05,1099
0.2,1099,0,3.6716461181640625e-05,1099
0.2,3325,2226,5.698204040527344e-05,1099
0.5,1099,0,3.910064697265625e-05,1099
0.5,3325,2226,5.984306335449219e-05,1099
0.5,1099,0,3.910064697265625e-05,1099
0.5,1099,0,3.695487976074219e-05,1099
0.5,3325,2226,5.7220458984375e-05,1099
0.5,3325,2226,5.6743621826171875e-05,1099
0.5,3325,2226,5.793571472167969e-05,1099
0.5,1099,0,3.6716461181640625e-05,1099
0.5,1099,0,3.981590270996094e-05,1099
0.5,3325,2226,5.7220458984375e-05,1099
1.0,1099,0,3.981590270996094e-05,1099
1.0,1099,0,5.1975250244140625e-05,1099
1.0,3325,2226,5.7220458984375e-05,1099
1.0,1099,0,3.981590270996094e-05,1099
1.0,3325,2226,5.602836608886719e-05,1099
1.0,1099,0,3.5762786865234375e-05,1099
1.0,1099,0,3.933906555175781e-05,1099
1.0,3325,2226,5.7697296142578125e-05,1099
1.0,1099,0,3.981590270996094e-05,1099
1.0,1099,0,3.814697265625e-05,1099
